search_id, label_name

# Britain and Ireland
# "SRA62.SG", "SRA62" # Mesolithic
"I2657", "I2657" # Early Neolithic
"I5367", "I5367" # Late Neolithic
"3DT26.SG", "3DRIF-26" # Roman Britain
"VK546.SG", "VK546" # Viking Age

# Central Europe
"Stuttgart_published.DG", "Stuttgart" # Early Neolithic
"N22.SG", "N22" # The last hunter-gatherer?
"RISE434.SG", "RISE434" # Late Neolithic
"WEZ35.SG", "WEZ35" # Bronze Age Tollense battlefield
"AED1108.SG", "AED1108" # Early Medieval with deformed skull

# Iberia
"Chan.SG", "Chan" # Mesolithic
"CB13.SG", "CB13" # Early Neolithic
"LugarCanto45.SG", "LugarCanto45" # Neolithic
"I3239", "I3239" # Late Neolithic
"I8344", "I8344" # Iron Age
"I8338", "I8338" # Roman
# Add the samples from the example search figures!

# Italy
"R2.SG", "R2" # Early Neolithic
"LON003", "LON003" # Neolithic
"I11443", "I11443" # Bronze Age
"I15940_published", "I15940" # Bronze Age
"VIL011", "VIL011" # Carthaginian/Phoenician-Punic
"R850.SG", "R850" # Iron Age
"R67.SG", "R67" # Imperial Rome

"I3719_published", "I3719"
"ILK002", "ILK002"
"MJ-14.SG", "MJ-14"
"cim359.SG", "cim359"
"M95.SG", "M95"
"I3948", "I3948"
"I2534", "I2534"
"I4971", "I4971"
"I2787", "I2787"
"I2741", "I2741"
"I2163", "I2163"
"DA197.SG", "DA197"
"HUN001", "HUN001"
"I4175", "I4175"
"VK542.SG", "VK542"
