Sweden_Motala_HG MotalaAA
Italy_C.SG R1014.SG
Italy_IA_Republic.SG R1015.SG
Italy_IA_Republic.SG R1016.SG
Italy_IA_Republic.SG R1021.SG
Italy_LA_oSardiniaLike.SG R104.SG
Italy_LA_oCentralEuropean.SG R105.SG
Italy_LA_oCentralEuropean.SG R106.SG
Italy_LA.SG R107.SG
Italy_LA_oCentralEuropean.SG R108.SG
Italy_LA_oCentralEuropean.SG R109.SG
Italy_N.SG R10.SG
Italy_LA_oCentralEuropean.SG R110.SG
Italy_Imperial.SG R111.SG
Italy_Imperial.SG R113.SG
Italy_Imperial.SG R114.SG
Italy_Imperial.SG R115.SG
Italy_Imperial_oCentralEuropean.SG R116.SG
Italy_LA.SG R117.SG
Italy_LA.SG R118.SG
Italy_LA.SG R120.SG
Italy_Medieval_EarlyModern_oCentralEuropean.SG R1219.SG
Italy_LA.SG R121.SG
Italy_Medieval_EarlyModern_oCentralEuropean.SG R1220.SG
Italy_Medieval_EarlyModern_oCentralEuropean.SG R1221.SG
Italy_Medieval_EarlyModern_oCentralEuropean.SG R1224.SG
Italy_LA.SG R122.SG
Italy_Imperial.SG R123.SG
Italy_Imperial.SG R125.SG
Italy_Imperial.SG R126.SG
Italy_Medieval_EarlyModern.SG R1283.SG
Italy_Medieval_EarlyModern.SG R1285.SG
Italy_Medieval_EarlyModern_oCentralEuropean.SG R1286.SG
Italy_Imperial.SG R128.SG
Italy_Medieval_EarlyModern.SG R1290.SG
Italy_LA.SG R130.SG
Italy_Imperial.SG R131.SG
Italy_Imperial_oAfrican.SG R132.SG
Italy_LA.SG R133.SG
Italy_LA.SG R134.SG
Italy_LA.SG R136.SG
Italy_LA.SG R137.SG
Italy_Imperial.SG R1543.SG
Italy_Imperial.SG R1544.SG
Italy_Imperial.SG R1545.SG
Italy_Imperial.SG R1547.SG
Italy_Imperial.SG R1548.SG
Italy_Imperial.SG R1549.SG
Italy_Imperial.SG R1550.SG
Italy_Imperial.SG R1551.SG
Italy_Mesolithic.SG R15.SG
Italy_N.SG R16.SG
Italy_N.SG R17.SG
Italy_N.SG R18.SG
Italy_N.SG R19.SG
Italy_IA_Republic.SG R1.SG
Italy_C_BA.SG R22.SG
Italy_C_BA.SG R24.SG
Italy_C_BA.SG R25.SG
Italy_C_BA.SG R26.SG
Italy_C_BA.SG R27.SG
Italy_C_BA.SG R28.SG
Italy_C_BA.SG R29.SG
Italy_N.SG R2.SG
Italy_LA.SG R30.SG
Italy_LA_oCentralEuropean.SG R31.SG
Italy_LA.SG R32.SG
Italy_LA_oCentralEuropean.SG R33.SG
Italy_LA.SG R34.SG
Italy_LA.SG R35.SG
Italy_LA.SG R36.SG
Italy_Imperial_oCentralEuropean.SG R37.SG
Italy_Imperial.SG R38.SG
Italy_Imperial.SG R39.SG
Italy_N.SG R3.SG
Italy_Imperial.SG R40.SG
Italy_Imperial.SG R41.SG
Italy_Imperial.SG R42.SG
Italy_IA_Republic.SG R435.SG
Italy_Imperial.SG R436.SG
Italy_IA_Republic_oEasternMediterranean.SG R437.SG
Italy_Imperial.SG R43.SG
Italy_Imperial.SG R44.SG
Italy_Imperial.SG R45.SG
Italy_IA_Republic.SG R473.SG
Italy_IA_Republic.SG R474.SG
Italy_IA_Republic_oEasternMediterranean.SG R475.SG
Italy_Imperial.SG R47.SG
Italy_Imperial.SG R49.SG
Italy_C.SG R4.SG
Italy_Imperial.SG R50.SG
Italy_Imperial.SG R51.SG
Italy_Medieval_EarlyModern.SG R58.SG
Italy_C.SG R5.SG
Italy_Imperial.SG R66.SG
Italy_Imperial.SG R67.SG
Italy_Imperial.SG R68.SG
Italy_Imperial.SG R69.SG
Italy_N_oWHG.SG R6.SG
Italy_Imperial.SG R70.SG
Italy_Imperial.SG R71.SG
Italy_Imperial.SG R72.SG
Italy_Imperial.SG R73.SG
Italy_Imperial.SG R75.SG
Italy_Imperial.SG R76.SG
Italy_Imperial.SG R78.SG
Italy_Imperial.SG R80.SG
Italy_Imperial.SG R81.SG
Italy_Imperial.SG R835.SG
Italy_Imperial.SG R836.SG
Italy_IA_Republic_oEasternMediterranean.SG R850.SG
Italy_IA_Republic.SG R851.SG
Italy_N.SG R8.SG
Italy_Medieval_EarlyModern.SG R969.SG
Italy_Medieval_EarlyModern.SG R970.SG
Italy_Medieval_EarlyModern.SG R973.SG
Italy_N.SG R9.SG
Wales_N I3023
England_N_possible I3005
Wales_N I3033
